mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0.75	0	3/16	3/8	2	1	d.V{		d	i		V		V						{	M	1	1	1, 5, 2		1	1
2	1	3/4	4.5	0	0	3/8	2	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
5	4	21/4	1.0	0	0	3/8	2	1	V		d	i		V		V							M	1	1	1, 5, 2		1	1
5	4	25/4	0.5	1/4	1/4	3/8	2	1	V7		d	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
6	5	27/4	1.0	0	0	3/8	2	1	V		d	i		V		V							M	1	1	1, 5, 2		1	1
6	5	31/4	0.5	1/4	1/4	3/8	2	1	V7		d	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
7	6	33/4	1.0	0	0	3/8	2	1	V		d	i		V		V							M	1	1	1, 5, 2		1	1
7	6	37/4	0.5	1/4	1/4	3/8	2	1	V7		d	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
8	7	39/4	1.0	0	0	3/8	2	1	V		d	i		V		V							M	1	1	1, 5, 2		1	1
8	7	43/4	0.5	1/4	1/4	3/8	2	1	V7		d	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	8	45/4	1.5	0	0	3/8	2	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
10	9	51/4	1.5	0	0	3/8	2	1	iv		d	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
11	10	57/4	1.5	0	0	3/8	2	1	bII		d	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
12	11	63/4	1.5	0	0	3/8	2	1	V6		d	i		V6		V		6					M	1	1	5, 2, 1		1	5
13	12	69/4	1.5	0	0	3/8	2	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
14	13	75/4	1.5	0	0	3/8	2	1	V(64)		d	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
15	14	81/4	1.5	0	0	3/8	2	1	V7		d	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
16	15	87/4	3.0	0	0	3/8	2	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
18	17	99/4	1.5	0	0	3/8	2	1	iv		d	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
19	18	105/4	1.5	0	0	3/8	2	1	bII		d	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
20	19	111/4	1.5	0	0	3/8	2	1	V6		d	i		V6		V		6					M	1	1	5, 2, 1		1	5
21	20	117/4	1.5	0	0	3/8	2	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
22	21	123/4	1.5	0	0	3/8	2	1	V(64)		d	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
23	22	129/4	1.5	0	0	3/8	2	1	V7		d	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
24	23	135/4	3.0	0	0	3/8	2	1	i|PAC}		d	i		i		i					PAC	}	m	1	1	0, -3, 1		0	0
26	25	147/4	1.5	0	0	3/8	2	1	V(64){		d	i		V(64)		V			64			{	M	1	1	1, 0, -3		1	1
27	26	153/4	1.5	0	0	3/8	2	1	V7		d	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
28	27	159/4	3.0	0	0	3/8	2	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
30	29	171/4	1.5	0	0	3/8	2	1	V(64)		d	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
31	30	177/4	0.75	0	0	3/8	2	1	V7		d	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
31	30	45	0.75	3/16	3/16	3/8	2	1	V		d	i		V		V							M	1	1	1, 5, 2		1	1
32	31	183/4	1.0	0	0	3/8	2	1	i|PAC}		d	i		i		i					PAC	}	m	1	1	0, -3, 1		0	0
32	31	187/4	0.5	1/4	1/4	3/8	2	1	i6{		d	i		i6		i		6				{	m	1	1	-3, 1, 0		0	-3
33	32	189/4	1.0	0	0	3/8	2	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
33	32	193/4	0.5	1/4	1/4	3/8	2	1	i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
34	33	195/4	1.5	0	0	3/8	2	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
35	34	201/4	1.5	0	0	3/8	2	1	v.V7/III		d	v		V7/III		V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
36	35	207/4	5.5	0	0	3/8	2	1	III		d	v		III		III							M	1	1	-3, 1, -2		-3	-3
39	38	229/4	0.5	1/4	1/4	3/8	2	1	III6		d	v		III6		III		6					M	1	1	1, -2, -3		-3	1
40	39	231/4	1.0	0	0	3/8	2	1	III		d	v		III		III							M	1	1	-3, 1, -2		-3	-3
40	39	235/4	0.5	1/4	1/4	3/8	2	1	III6		d	v		III6		III		6					M	1	1	1, -2, -3		-3	1
41	40	237/4	1.0	0	0	3/8	2	1	III		d	v		III		III							M	1	1	-3, 1, -2		-3	-3
41	40	241/4	0.5	1/4	1/4	3/8	2	1	III6		d	v		III6		III		6					M	1	1	1, -2, -3		-3	1
42	41	243/4	1.5	0	0	3/8	2	1	III		d	v		III		III							M	1	1	-3, 1, -2		-3	-3
43	42	249/4	1.0	0	0	3/8	2	1	iv6		d	v		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
43	42	253/4	0.5	1/4	1/4	3/8	2	1	It6		d	v		It6	It	vii	o	6	b3	V			It	1	1	-4, 0, 6		6	-4
44	43	255/4	0.5	0	0	3/8	2	1	V|HC}		d	v		V		V					HC	}	M	1	1	1, 5, 2		1	1
44	43	257/4	0.5	1/8	1/8	3/8	2	1	V43(9){		d	v		V43(9)		V		43	9			{	Mm7	1	1	2, -1, 1, 5	-4	1	2
44	43	259/4	0.5	1/4	1/4	3/8	2	1	V6		d	v		V6		V		6					M	1	1	5, 2, 1		1	5
45	44	261/4	0.5	0	0	3/8	2	1	V43(9)		d	v		V43(9)		V		43	9				Mm7	1	1	2, -1, 1, 5	-4	1	2
45	44	263/4	0.5	1/8	1/8	3/8	2	1	V6		d	v		V6		V		6					M	1	1	5, 2, 1		1	5
45	44	265/4	0.5	1/4	1/4	3/8	2	1	V43(9)		d	v		V43(9)		V		43	9				Mm7	1	1	2, -1, 1, 5	-4	1	2
46	45	267/4	0.5	0	0	3/8	2	1	V6		d	v		V6		V		6					M	1	1	5, 2, 1		1	5
46	45	269/4	0.5	1/8	1/8	3/8	2	1	V43(9)		d	v		V43(9)		V		43	9				Mm7	1	1	2, -1, 1, 5	-4	1	2
46	45	271/4	0.5	1/4	1/4	3/8	2	1	V6		d	v		V6		V		6					M	1	1	5, 2, 1		1	5
47	46	273/4	0.5	0	0	3/8	2	1	V43(9)		d	v		V43(9)		V		43	9				Mm7	1	1	2, -1, 1, 5	-4	1	2
