mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_line
1	0	0	0	0.0		0	1/2	Dynamic	3/4	1	1	0					p				
1	0	0	0	0.75		0	1/2	Chord	3/4	1	1	3/16	1/8	3/2	0	p			0		
1	0	3/4	3/4	0.25		3/16	11/16	Chord	3/4	1	1	1/16	1/16	1	1						
2	1	1	1	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	2						
2	1	3	3	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	3				1		
2	1	15/4	15/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	4						
2	1	1	1	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	5				2		
2	1	3/2	3/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	6				2		
2	1	2	2	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	7				2		
2	1	5/2	5/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	8				2		
2	1	3	3	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	9				2		
2	1	7/2	7/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	10						
2	1	1	1	3.0		0	0	Chord	3/4	2	2	3/4	1/2	3/2	11						
3	2	4	4	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	12				3		
3	2	5	5	1.5		1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	13				3		
3	2	13/2	13/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	14						
3	2	4	4	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	15						
3	2	9/2	9/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	16						
3	2	5	5	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	17						
3	2	11/2	11/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	18						
3	2	6	6	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	19						
3	2	13/2	13/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	20						
3	2	4	4	2.0		0	0	Chord	3/4	2	2	1/2	1/2	1	21						
3	2	6	6	0.5		1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	22						
3	2	13/2	13/2	0.5		5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	23						
4	3	7	7	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	24				4		
4	3	17/2	17/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	25				4		
4	3	9	9	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	26				4		
4	3	19/2	19/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	27						
4	3	7	7	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	28						
4	3	15/2	15/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	29						
4	3	8	8	0.5		1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	30						
4	3	17/2	17/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	31						
4	3	9	9	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	32						
4	3	19/2	19/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	33						
4	3	7	7	1.5		0	0	Chord	3/4	2	1	3/8	1/4	3/2	34				5		
4	3	17/2	17/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	35				5		
4	3	9	9	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	36				5		
4	3	19/2	19/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	37						
5	4	10	10	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	38				6		
5	4	11	11	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	39						
5	4	12	12	0.75		1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	40				7		
5	4	51/4	51/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	41						
5	4	10	10	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	42						
5	4	21/2	21/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	43						
5	4	11	11	0.5		1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	44						
5	4	23/2	23/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	45						
5	4	12	12	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	46						
5	4	25/2	25/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	47						
5	4	10	10	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	48						
5	4	11	11	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	49						
5	4	12	12	0.75		1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	50						
5	4	51/4	51/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	51						
6	5	13	13	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	52				8		
