mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	0		
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	1		
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	2		
2	2	3	3	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	3		
2	2	3	3	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	4	p	
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	5		
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	6		
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	7		
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	8		
3	3	7	7	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	9		
3	3	6	6	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	10		
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	11		
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	12		
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	13		
4	4	9	9	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	14		
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	15		
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	16		
4	4	9	9	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	17		
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	18		
4	4	9	9	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	19		
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	20		
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	21		
5	5	12	12	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	22		
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	23		
5	5	12	12	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	24		
5	5	12	12	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	25		
5	5	12	12	1.0	0	0	Chord	3/4	2	3	1/4	1/4	1	26		
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	3	1/4	1/4	1	27		
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	3	1/4	1/4	1	28		
6	6	15	15	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	29		
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	30		
6	6	15	15	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	31		
6	6	15	15	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	32		
6	6	15	15	1.0	0	0	Chord	3/4	2	3	1/4	1/4	1	33		
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	3	1/4	1/4	1	34		
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	3	1/4	1/4	1	35		
7	7	18	18	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	36		
7	7	18	18	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	37		
7	7	18	18	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	38		
7	7	18	18	1.0	0	0	Chord	3/4	2	3	1/4	1/4	1	39		
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	3	1/4	1/4	1	40		
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	3	1/4	1/4	1	41		
8	8	21	21	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	42		
8	8	21	21	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	43		
8	8	21	21	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	44		
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	45		
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	46		
9	9	24	24	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	47		
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	48		
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	49		
9	9	24	24	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	50		
9	9	24	24	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	51		
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	52		
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	53		
10	10	27	27	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	54		articStaccatoBelow
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	55		
10	10	27	27	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	56		
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	57		
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	58		
11	11	30	30	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	59		
11	11	30	30	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	60		
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	61		
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	62		
12	12	33	33	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	63		
12	12	33	33	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	64		
12	12	33	33	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	65		
12	12	33	33	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	66		
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	67		
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	68		
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	69		
13	13	37	37	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	70		
13	13	36	36	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	71		
13	13	36	36	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	72		
13	13	36	36	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	73		
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	74		
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	75		
14	14	39	39	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	76		
14	14	41	41	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	77		
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	78		
14	14	39	39	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	79		
14	14	39	39	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	80		
14	14	39	39	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	81		
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	82		
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	83		
15	15	42	42	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	84		
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	85		
15	15	42	42	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	86		
15	15	42	42	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	87		
15	15	42	42	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	88		
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	89		
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	90		
16	16	45	45	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	91		
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	92		
16	16	45	45	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	93		
