mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_line	diminuendo_line	crescendo_hairpin
4	3	23/4	23/4	0.25	3/16	3/16	Chord	2/4	2	4	1/16		1/16	1	40													
4	3	6	6	1.0	1/4	1/4	Chord	2/4	2	4	1/4		1/4	1	41													
5	4	7	7	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	42									3				
5	4	29/4	29/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	43									3				
5	4	15/2	15/2	0.75	1/8	1/8	Chord	2/4	1	1	3/16		1/8	3/2	44													
5	4	33/4	33/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	45									4				
5	4	17/2	17/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	46													
5	4	35/4	35/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	47		articStaccatoAbove											
5	4	15/2	15/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	48													
5	4	31/4	31/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	49													
5	4	8	8	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	50													
5	4	15/2	15/2	0.5	1/8	1/8	Chord	2/4	2	3	1/8		1/8	1	51													
5	4	8	8	1.0	1/4	1/4	Chord	2/4	2	3	1/4		1/4	1	52													
5	4	31/4	31/4	0.25	3/16	3/16	Chord	2/4	2	4	1/16		1/16	1	53													
5	4	8	8	1.0	1/4	1/4	Chord	2/4	2	4	1/4		1/4	1	54													
6	5	9	9	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	55									5				
6	5	39/4	39/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	56									5				
6	5	10	10	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	57									5				
6	5	41/4	41/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	58									5				
6	5	21/2	21/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	59									5				
6	5	43/4	43/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	60													
6	5	37/4	37/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	61									6				
6	5	19/2	19/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	62									6				
6	5	39/4	39/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	63													
6	5	41/4	41/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	64									7				
6	5	21/2	21/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	65									7				
6	5	43/4	43/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	66													
7	6	11	11	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	67													
7	6	11	11	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	68									8				
7	6	45/4	45/4	0.5	1/16	1/16	Chord	2/4	1	1	1/8		1/8	1	69									8				
7	6	47/4	47/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	70													
7	6	12	12	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	71									9				
7	6	49/4	49/4	0.5	5/16	5/16	Chord	2/4	1	1	1/8		1/8	1	72									9				
7	6	51/4	51/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	73													
7	6	45/4	45/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	74									10				
7	6	23/2	23/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	75									10				
7	6	47/4	47/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	76													
7	6	49/4	49/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	77									11				
7	6	25/2	25/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	78									11				
7	6	51/4	51/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	79													
8	7	13	13	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	80									12				
8	7	53/4	53/4	0.5	1/16	1/16	Chord	2/4	1	1	1/8		1/8	1	81									12				
8	7	55/4	55/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	82													
8	7	14	14	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	83									13				
8	7	57/4	57/4	0.5	5/16	5/16	Chord	2/4	1	1	1/8		1/8	1	84									13				
8	7	59/4	59/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	85													
8	7	53/4	53/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	86									14				
8	7	27/2	27/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	87									14				
8	7	55/4	55/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	88													
8	7	57/4	57/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	89									15				
8	7	29/2	29/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	90									15				
8	7	59/4	59/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	91													
9	8	15	15	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	92													
9	8	33/2	33/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	93													
9	8	15	15	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	94									16				
9	8	61/4	61/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	95									16				
9	8	31/2	31/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	96									16				
9	8	63/4	63/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	97													
9	8	16	16	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	98									17				
9	8	65/4	65/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	99									17				
9	8	33/2	33/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	100									17				
9	8	67/4	67/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	101													
10	9	17	17	0.0	0	0	Spanner	2/4	1	1	0															0		
10	9	17	17	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	102		articStaccatoAbove							18		0		
10	9	35/2	35/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	103		articStaccatoAbove							18		0		
10	9	18	18	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	104		articStaccatoAbove									0		
10	9	37/2	37/2	0.0	3/8	3/8	Chord	2/4	1	1	0	grace16after	1/16	1	105											0		
10	9	37/2	37/2	0.0	3/8	3/8	Chord	2/4	1	1	0	grace16after	1/16	1	106											0		
10	9	37/2	37/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	107		ornamentTrill									0		
10	9	17	17	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	108									19				
10	9	69/4	69/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	109									19				
10	9	35/2	35/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	110									19				
10	9	71/4	71/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	111													
10	9	18	18	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	112									20				
10	9	73/4	73/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	113									20				
10	9	37/2	37/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	114									20				
10	9	75/4	75/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	115													
11	10	19	19	0.0	0	0	Dynamic	2/4	1	1	0					sf												
11	10	19	19	0.0	0	0	Spanner	2/4	1	1	0																	
11	10	19	19	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	116									21				
11	10	20	20	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	117													
11	10	19	19	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	118									22				
11	10	77/4	77/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	119									22				
11	10	39/2	39/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	120									22				
11	10	79/4	79/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	121													
11	10	20	20	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	122									23				
11	10	81/4	81/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	123									23				
11	10	41/2	41/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	124									23				
11	10	83/4	83/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	125													
12	11	87/4	87/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	126													
12	11	22	22	0.0	1/4	1/4	StaffText	2/4	1	1	0							cresc.										
12	11	22	22	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	127		articStaccatoAbove							24				
12	11	89/4	89/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	128		articStaccatoAbove							24				
12	11	45/2	45/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	129		articStaccatoAbove							24				
12	11	91/4	91/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	130		articStaccatoAbove											
12	11	21	21	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	131									25				
12	11	85/4	85/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	132									25				
12	11	43/2	43/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	133									25				
12	11	87/4	87/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	134													
12	11	22	22	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	135									26				
12	11	89/4	89/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	136									26				
12	11	45/2	45/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	137									26				
12	11	91/4	91/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	138													
13	12	23	23	0.0	0	0	Dynamic	2/4	1	1	0					sf												
13	12	23	23	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	139									27				
13	12	24	24	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	140													
13	12	23	23	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	141									28				
13	12	93/4	93/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	142									28				
13	12	47/2	47/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	143									28				
13	12	95/4	95/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	144													
13	12	24	24	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	145									29				
13	12	97/4	97/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	146									29				
13	12	49/2	49/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	147									29				
13	12	99/4	99/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	148													
14	13	51/2	51/2	0.0	1/8	1/8	Dynamic	2/4	1	1	0					p												
14	13	51/2	51/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	149									30				
14	13	26	26	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	150									30				
14	13	105/4	105/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	151									30				
14	13	211/8	211/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	152													
14	13	53/2	53/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	153		articStaccatoAbove											
14	13	107/4	107/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	154		articStaccatoAbove											
14	13	25	25	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	155									31				
14	13	101/4	101/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	156									31				
14	13	51/2	51/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	157									31				
14	13	103/4	103/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	158													
14	13	26	26	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	159									32				
14	13	105/4	105/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	160									32				
14	13	53/2	53/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	161									32				
14	13	107/4	107/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	162													
15	14	27	27	0.0	0	0	Dynamic	2/4	1	1	0					p												
15	14	27	27	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	163									33				
15	14	55/2	55/2	0.0	1/8	1/8	StaffText	2/4	1	1	0							cresc.						33				
15	14	55/2	55/2	0.0	1/8	1/8	Spanner	2/4	1	1	0													33		1		
15	14	55/2	55/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	164									33		1		
15	14	57/2	57/2	0.0	3/8	3/8	Spanner	2/4	1	1	0																	
15	14	57/2	57/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	165													
15	14	109/4	109/4	0.0	1/16	1/16	Spanner	2/4	2	1	0															2		
15	14	27	27	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	166									34		2		
15	14	109/4	109/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	167									34		2		
15	14	55/2	55/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	168									34		2		
15	14	111/4	111/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	169											2		
15	14	28	28	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	170									35		2		
15	14	113/4	113/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	171									35		2		
15	14	57/2	57/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	172									35		2		
15	14	115/4	115/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	173											2		
16	15	29	29	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	174													
16	15	29	29	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	175													
16	15	29	29	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	176													
16	15	29	29	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	177									36				
16	15	59/2	59/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	178									36				
16	15	61/2	61/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	179													
16	15	29	29	0.0	0	0	Spanner	2/4	2	1	0																	
16	15	29	29	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	180									37				
16	15	117/4	117/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	181									37				
16	15	59/2	59/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	182									37				
16	15	119/4	119/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	183													
16	15	30	30	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	184									38				
16	15	121/4	121/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	185									38				
16	15	61/2	61/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	186									38				
16	15	123/4	123/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	187													
17	16	31	31	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	188									39				
17	16	63/2	63/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	189									39				
17	16	65/2	65/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	190													
17	16	31	31	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	191									40				
17	16	125/4	125/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	192									40				
17	16	63/2	63/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	193									40				
17	16	127/4	127/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	194													
17	16	32	32	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	195									41				
17	16	129/4	129/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	196									41				
17	16	65/2	65/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	197									41				
17	16	131/4	131/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	198													
18	17	33	33	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	199													
18	17	33	33	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	200													
18	17	33	33	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	201													
18	17	33	33	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	202									42				
18	17	67/2	67/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	203									42				
18	17	69/2	69/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	204													
18	17	33	33	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	205									43				
18	17	133/4	133/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	206									43				
18	17	67/2	67/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	207									43				
18	17	135/4	135/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	208													
18	17	34	34	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	209									44				
18	17	137/4	137/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	210									44				
18	17	69/2	69/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	211									44				
18	17	139/4	139/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	212													
19	18	35	35	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	213									45				
19	18	71/2	71/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	214									45				
19	18	73/2	73/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	215													
19	18	35	35	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	216									46				
19	18	141/4	141/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	217									46				
19	18	71/2	71/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	218									46				
19	18	143/4	143/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	219													
19	18	36	36	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	220									47				
19	18	145/4	145/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	221									47				
19	18	73/2	73/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	222									47				
19	18	147/4	147/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	223													
20	19	37	37	0.0	0	0	Dynamic	2/4	1	1	0					p												
20	19	37	37	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	224									48				
20	19	75/2	75/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	225									48				
20	19	77/2	77/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	226													
20	19	37	37	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	227									49				
20	19	149/4	149/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	228									49				
20	19	75/2	75/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	229									49				
20	19	151/4	151/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	230													
20	19	38	38	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	231									50				
20	19	153/4	153/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	232									50				
20	19	77/2	77/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	233									50				
20	19	155/4	155/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	234													
21	20	39	39	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	235									51				
21	20	79/2	79/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	236													
21	20	241/6	241/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	237									52				
21	20	121/3	121/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	238									52				
21	20	81/2	81/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	239									52				
21	20	122/3	122/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	240									52				
21	20	245/6	245/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	241													
21	20	39	39	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	242									53				
21	20	157/4	157/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	243									53				
21	20	79/2	79/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	244									53				
21	20	159/4	159/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	245													
21	20	40	40	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	246									54				
21	20	161/4	161/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	247									54				
21	20	81/2	81/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	248									54				
21	20	163/4	163/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	249													
22	21	41	41	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	250									55				
22	21	83/2	83/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	251													
22	21	253/6	253/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	252									56				
22	21	127/3	127/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	253									56				
22	21	85/2	85/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	254									56				
22	21	128/3	128/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	255									56				
22	21	257/6	257/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	256													
22	21	41	41	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	257									57				
22	21	165/4	165/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	258									57				
22	21	83/2	83/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	259									57				
22	21	167/4	167/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	260													
22	21	42	42	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	261									58				
