mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va	crescendo_hairpin	crescendo_line	diminuendo_line	decrescendo_hairpin
1	0	0	0	0.0	0	1/2	SystemText	3/4	1	1	0					"<b><font size=""12""/>SCHERZO.</b>"													
1	0	0	0	0.0	0	1/2	SystemText	3/4	1	1	0					"<b><font size=""12""/>Assai vivace.</b>"													
1	0	0	0	0.0	0	1/2	SystemText	3/4	1	1	0					<b>(<sym>unicodeNoteHalfUp</sym><sym>space</sym><sym>unicodeAugmentationDot</sym> = 80)</b>													
1	0	0	0	0.0	0	1/2	Tempo	3/4	1	1	0						𝅗𝅥space.=80	240.0	𝅗𝅥space.	80.0	0.0								
1	0	0	0	0.0	0	1/2	Dynamic	3/4	1	1	0				p														
1	0	0	0	0.0	0	1/2	Spanner	3/4	1	1	0															0			
1	0	0	0	0.75	0	1/2	Chord	3/4	1	1	3/16	1/8	3/2	0								0				0			
1	0	3/4	3/4	0.0	3/16	11/16	Tempo	3/4	1	1	0						𝅘𝅥=240	240.0	𝅘𝅥	240.0	0.0					0			
1	0	3/4	3/4	0.25	3/16	11/16	Chord	3/4	1	1	1/16	1/16	1	1												0			
1	0	0	0	0.75	0	1/2	Chord	3/4	2	1	3/16	1/8	3/2	2								1							
1	0	3/4	3/4	0.25	3/16	11/16	Chord	3/4	2	1	1/16	1/16	1	3															
2	1	1	1	0.0	0	0	Dynamic	3/4	1	1	0				mf														
2	1	1	1	0.0	0	0	Spanner	3/4	1	1	0																		
2	1	1	1	0.0	0	0	Spanner	3/4	1	1	0																		0
2	1	1	1	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	4								2							0
2	1	2	2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	5															0
2	1	5/2	5/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0				p														
2	1	5/2	5/2	0.0	3/8	3/8	Spanner	3/4	1	1	0																		
2	1	3	3	0.0	1/2	1/2	Spanner	3/4	1	1	0															1			
2	1	3	3	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	6								3				1			
2	1	15/4	15/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	7												1			
2	1	1	1	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	8								4							
2	1	2	2	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	9															
2	1	3	3	0.75	1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	10								5							
2	1	15/4	15/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	11															
3	2	4	4	0.0	0	0	Dynamic	3/4	1	1	0				mf														
3	2	4	4	0.0	0	0	Spanner	3/4	1	1	0																		
3	2	4	4	0.0	0	0	Spanner	3/4	1	1	0																		1
3	2	4	4	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	12								6							1
3	2	5	5	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	13															1
3	2	11/2	11/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0				p														
3	2	11/2	11/2	0.0	3/8	3/8	Spanner	3/4	1	1	0																		
3	2	6	6	0.0	1/2	1/2	Spanner	3/4	1	1	0															2			
3	2	6	6	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	14								7				2			
3	2	27/4	27/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	15												2			
3	2	4	4	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	16								8							
3	2	5	5	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	17															
3	2	6	6	0.75	1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	18								9							
3	2	27/4	27/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	19															
4	3	7	7	0.0	0	0	Dynamic	3/4	1	1	0				mf														
4	3	7	7	0.0	0	0	Spanner	3/4	1	1	0																		
4	3	7	7	0.0	0	0	Spanner	3/4	1	1	0																		2
4	3	7	7	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	20								10							2
4	3	8	8	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	21															2
4	3	17/2	17/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0				p														
4	3	17/2	17/2	0.0	3/8	3/8	Spanner	3/4	1	1	0																		
4	3	9	9	0.0	1/2	1/2	SystemText	3/4	1	1	0					(    )													
4	3	9	9	0.0	1/2	1/2	Spanner	3/4	1	1	0															3			
4	3	9	9	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	22								11				3			
4	3	39/4	39/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	23												3			
4	3	7	7	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	24								12							
4	3	8	8	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	25															
4	3	9	9	0.75	1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	26								13							
4	3	39/4	39/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	27															
5	4	10	10	0.0	0	0	Dynamic	3/4	1	1	0				mf														
5	4	10	10	0.0	0	0	Spanner	3/4	1	1	0																		
5	4	10	10	0.0	0	0	Spanner	3/4	1	1	0																		3
5	4	10	10	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	28								14							3
5	4	11	11	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	29															3
5	4	23/2	23/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0				p														
5	4	23/2	23/2	0.0	3/8	3/8	Spanner	3/4	1	1	0																		
5	4	12	12	0.0	1/2	1/2	Spanner	3/4	1	1	0															4			
5	4	12	12	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	30								15				4			
5	4	51/4	51/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	31												4			
5	4	12	12	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	32												4			
5	4	10	10	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	33								16							
5	4	11	11	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	34															
5	4	12	12	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	35															
5	4	12	12	0.75	1/2	1/2	Chord	3/4	2	2	3/16	1/8	3/2	36								17							
5	4	51/4	51/4	0.25	11/16	11/16	Chord	3/4	2	2	1/16	1/16	1	37															
6	5	13	13	0.0	0	0	Spanner	3/4	1	1	0																		
6	5	13	13	0.0	0	0	Spanner	3/4	1	1	0																		4
6	5	13	13	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	38								18							4
6	5	14	14	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	39															4
6	5	29/2	29/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0				p														
6	5	29/2	29/2	0.0	3/8	3/8	Spanner	3/4	1	1	0																		
6	5	15	15	0.0	1/2	1/2	Spanner	3/4	1	1	0																0		
6	5	15	15	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	40								19					0		
6	5	63/4	63/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	41													0		
6	5	13	13	0.0	0	0	Dynamic	3/4	1	2	0				mf												0		
6	5	13	13	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	42													0		
6	5	14	14	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	43													0		
6	5	15	15	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	44													0		
6	5	13	13	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	45								20							
6	5	14	14	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	46															
6	5	15	15	0.75	1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	47								21							
6	5	63/4	63/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	48															
7	6	16	16	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	49								22					0		
7	6	17	17	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	50													0		
7	6	18	18	0.0	1/2	1/2	Dynamic	3/4	1	1	0				f														
7	6	18	18	0.0	1/2	1/2	Spanner	3/4	1	1	0																		
7	6	18	18	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	51															
7	6	16	16	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	52								23							
7	6	17	17	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	53															
7	6	18	18	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	54															
7	6	16	16	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	55								24							
7	6	17	17	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	56															
7	6	18	18	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	57															
8	7	19	19	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	58															
8	7	21	21	0.0	1/2	1/2	Dynamic	3/4	1	1	0				p														
8	7	21	21	0.0	1/2	1/2	Spanner	3/4	1	1	0															5			
8	7	21	21	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	59								25				5			
8	7	87/4	87/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	60												5			
8	7	19	19	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	61															
8	7	21	21	0.75	1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	62								26							
8	7	87/4	87/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	63															
9	8	22	22	0.0	0	0	Dynamic	3/4	1	1	0				mf														
9	8	22	22	0.0	0	0	Spanner	3/4	1	1	0																		
9	8	22	22	0.0	0	0	Spanner	3/4	1	1	0																		5
9	8	22	22	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	64								27							5
9	8	23	23	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	65															5
9	8	47/2	47/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0				p														
9	8	47/2	47/2	0.0	3/8	3/8	Spanner	3/4	1	1	0																		
9	8	24	24	0.0	1/2	1/2	Spanner	3/4	1	1	0															6			
9	8	24	24	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	66								28				6			
9	8	99/4	99/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	67												6			
9	8	22	22	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	68								29							
9	8	23	23	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	69															
9	8	24	24	0.75	1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	70								30							
9	8	99/4	99/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	71															
10	9	25	25	0.0	0	0	Dynamic	3/4	1	1	0				mf														
10	9	25	25	0.0	0	0	Spanner	3/4	1	1	0																		
10	9	25	25	0.0	0	0	Spanner	3/4	1	1	0																		6
10	9	25	25	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	72								31							6
10	9	26	26	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	73															6
10	9	53/2	53/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0				p														
10	9	53/2	53/2	0.0	3/8	3/8	Spanner	3/4	1	1	0																		
10	9	27	27	0.0	1/2	1/2	Spanner	3/4	1	1	0															7			
10	9	27	27	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	74								32				7			
10	9	111/4	111/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	75												7			
10	9	25	25	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	76								33							
10	9	26	26	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	77															
10	9	27	27	0.75	1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	78								34							
10	9	111/4	111/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	79															
11	10	28	28	0.0	0	0	Dynamic	3/4	1	1	0				mf														
11	10	28	28	0.0	0	0	Spanner	3/4	1	1	0																		
11	10	28	28	0.0	0	0	Spanner	3/4	1	1	0																		7
11	10	28	28	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	80								35							7
11	10	29	29	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	81															7
11	10	59/2	59/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0				p														
11	10	59/2	59/2	0.0	3/8	3/8	Spanner	3/4	1	1	0																		
11	10	30	30	0.0	1/2	1/2	Spanner	3/4	1	1	0															8			
11	10	30	30	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	82								36				8			
11	10	123/4	123/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	83												8			
11	10	28	28	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	84								37							
11	10	29	29	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	85															
11	10	30	30	0.75	1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	86								38							
11	10	123/4	123/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	87															
12	11	31	31	0.0	0	0	Dynamic	3/4	1	1	0				mf														
12	11	31	31	0.0	0	0	Spanner	3/4	1	1	0																		
12	11	31	31	0.0	0	0	Spanner	3/4	1	1	0																		8
12	11	31	31	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	88								39							8
12	11	32	32	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	89															8
12	11	65/2	65/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0				p														
12	11	65/2	65/2	0.0	3/8	3/8	Spanner	3/4	1	1	0																		
12	11	33	33	0.0	1/2	1/2	Spanner	3/4	1	1	0																1		
12	11	33	33	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	90								40					1		
12	11	135/4	135/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	91													1		
12	11	33	33	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	92													1		
12	11	31	31	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	93								41							
12	11	32	32	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	94															
12	11	33	33	0.75	1/2	1/2	Chord	3/4	2	2	3/16	1/8	3/2	95								42							
12	11	135/4	135/4	0.25	11/16	11/16	Chord	3/4	2	2	1/16	1/16	1	96															
13	12	34	34	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	97								43					1		
13	12	35	35	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	98													1		
13	12	36	36	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	99								44					1		
13	12	147/4	147/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	100													1		
13	12	34	34	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	101													1		
13	12	35	35	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	102													1		
13	12	36	36	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	103													1		
13	12	34	34	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	104								45							
13	12	35	35	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	105															
13	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	106															
13	12	36	36	0.75	1/2	1/2	Chord	3/4	2	2	3/16	1/8	3/2	107								46							
13	12	147/4	147/4	0.25	11/16	11/16	Chord	3/4	2	2	1/16	1/16	1	108															
14	13	37	37	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	109								47					1		
14	13	38	38	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	110													1		
14	13	39	39	0.0	1/2	1/2	Dynamic	3/4	1	1	0				f														
14	13	39	39	0.0	1/2	1/2	Spanner	3/4	1	1	0																		
14	13	39	39	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	111															
14	13	37	37	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	112								48							
14	13	38	38	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	113															
14	13	39	39	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	114															
15	14	40	40	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	115															
15	14	42	42	0.0	1/2	1/2	Spanner	3/4	1	1	0																		9
15	14	42	42	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	116								49							9
15	14	171/4	171/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	117															9
15	14	40	40	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	118															
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	119															
16	15	43	43	0.0	0	0	Dynamic	3/4	1	1	0				f														
16	15	43	43	0.0	0	0	Spanner	3/4	1	1	0																		
16	15	43	43	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	120								50							
16	15	44	44	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	121															
16	15	45	45	0.0	1/2	1/2	Spanner	3/4	1	1	0																		10
16	15	45	45	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	122								51							10
16	15	183/4	183/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	123															10
16	15	43	43	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	124															
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	125															
17	16	46	46	0.0	0	0	Dynamic	3/4	1	1	0				f														
17	16	46	46	0.0	0	0	Spanner	3/4	1	1	0																		
17	16	46	46	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	126								52							
17	16	47	47	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	127															
17	16	48	48	0.0	1/2	1/2	Spanner	3/4	1	1	0																		11
17	16	48	48	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	128								53							11
17	16	195/4	195/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	129															11
