mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	diminuendo_line	crescendo_line
1	1	0	0	0.0		0	0	Tempo	4/4	1	1	0								𝅘𝅥=30	30.0	𝅘𝅥	30.0	0.0				
1	1	0	0	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	0												
1	1	1	1	0.375		1/4	1/4	Chord	4/4	1	1	3/32		1/16	3/2	1												
1	1	11/8	11/8	0.125		11/32	11/32	Chord	4/4	1	1	1/32		1/32	1	2												
1	1	3/2	3/2	0.375		3/8	3/8	Chord	4/4	1	1	3/32		1/16	3/2	3												
1	1	15/8	15/8	0.125		15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	4												
1	1	2	2	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	5									0			
1	1	3	3	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	6												
1	1	0	0	0.0		0	0	Dynamic	4/4	2	1	0						fp										
1	1	0	0	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	7												
1	1	1	1	0.375		1/4	1/4	Chord	4/4	2	1	3/32		1/16	3/2	8												
1	1	11/8	11/8	0.125		11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	9												
1	1	3/2	3/2	0.375		3/8	3/8	Chord	4/4	2	1	3/32		1/16	3/2	10												
1	1	15/8	15/8	0.125		15/32	15/32	Chord	4/4	2	1	1/32		1/32	1	11												
1	1	2	2	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	12									1			
1	1	3	3	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	13												
1	1	31/8	31/8	0.125		31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	14												
2	2	4	4	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	15												
2	2	5	5	0.375		1/4	1/4	Chord	4/4	1	1	3/32		1/16	3/2	16												
2	2	43/8	43/8	0.125		11/32	11/32	Chord	4/4	1	1	1/32		1/32	1	17												
2	2	11/2	11/2	0.375		3/8	3/8	Chord	4/4	1	1	3/32		1/16	3/2	18												
2	2	47/8	47/8	0.125		15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	19												
2	2	6	6	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	20									2			
2	2	7	7	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	21												
2	2	4	4	0.0		0	0	Dynamic	4/4	2	1	0						fp										
2	2	4	4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	22												
2	2	5	5	0.375		1/4	1/4	Chord	4/4	2	1	3/32		1/16	3/2	23												
2	2	43/8	43/8	0.125		11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	24												
2	2	11/2	11/2	0.375		3/8	3/8	Chord	4/4	2	1	3/32		1/16	3/2	25												
2	2	47/8	47/8	0.125		15/32	15/32	Chord	4/4	2	1	1/32		1/32	1	26												
2	2	6	6	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	27												
2	2	7	7	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	28												
2	2	63/8	63/8	0.125		31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	29			articStaccatoAbove									
3	3	8	8	0.0		0	0	Dynamic	4/4	1	1	0						fp										
3	3	8	8	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	30												
3	3	9	9	0.375		1/4	1/4	Chord	4/4	1	1	3/32		1/16	3/2	31												
3	3	75/8	75/8	0.125		11/32	11/32	Chord	4/4	1	1	1/32		1/32	1	32												
3	3	19/2	19/2	0.375		3/8	3/8	Chord	4/4	1	1	3/32		1/16	3/2	33												
3	3	79/8	79/8	0.125		15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	34												
3	3	10	10	0.0		1/2	1/2	Dynamic	4/4	1	1	0						sf										
3	3	10	10	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	35									3			
3	3	11	11	0.25		3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	36			articStaccatoBelow									
3	3	91/8	91/8	0.125		27/32	27/32	Chord	4/4	1	1	1/32		1/32	1	37												
3	3	23/2	23/2	0.375		7/8	7/8	Chord	4/4	1	1	3/32		1/16	3/2	38												
3	3	95/8	95/8	0.125		31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	39												
3	3	8	8	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	40												
