mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin	crescendo_line	diminuendo_line
1	1	0	0	0.0	0	0	Tempo	6/8	1	1	0									𝅘𝅥𝅮=88	44.0	𝅘𝅥𝅮	88.0	0.0									
1	1	0	0	0.0	0	0	SystemText	6/8	1	1	0								"<b><font size=""12""/>Adagio sostenuto.</b>"														
1	1	0	0	0.0	0	0	SystemText	6/8	1	1	0								"<i><font size=""12""/>Appassionato e con molto sentimento.</i>"														
1	1	0	0	0.0	0	0	SystemText	6/8	1	1	0								<b>(<sym>unicodeNote8thUp</sym> = 92)</b>														
1	1	0	0	0.0	0	0	SystemText	6/8	1	1	0								"<i><font size=""12""/>una corda mezza voce</i>"														
1	1	0	0	0.0	0	0	Dynamic	6/8	1	1	0						pp																
1	1	0	0	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	0																	
1	1	3/2	3/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8			1/4	3/2	1																	
1	1	0	0	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	2																	
1	1	3/2	3/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8			1/4	3/2	3																	
2	2	3	3	0.0	0	0	Tempo	6/8	1	1	0									𝅘𝅥𝅮=88	44.0	𝅘𝅥𝅮	88.0	0.0									
2	2	3	3	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	4									0								
2	2	4	4	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	5																	
2	2	9/2	9/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	6									1								
2	2	5	5	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	7									1								
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	8																	
2	2	3	3	1.5	0	0	Chord	6/8	1	2	3/8			1/4	3/2	9																	
2	2	3	3	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	10																	
