mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	Trill:trill	decrescendo_hairpin	diminuendo_line	crescendo_line
1	1	1/2	1/2	0.0		1/8	1/8	Dynamic	4/4	1	1	0						pp						
1	1	1/2	1/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	0								
1	1	1	1	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	1								
1	1	3/2	3/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	2								
1	1	2	2	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	3								
1	1	5/2	5/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	4								
1	1	3	3	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	5								
1	1	7/2	7/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	6								
1	1	0	0	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	7								
1	1	1/2	1/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	8								
1	1	1	1	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	9								
1	1	3/2	3/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	10								
1	1	2	2	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	11								
1	1	5/2	5/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	12								
1	1	3	3	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	13								
1	1	7/2	7/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	14								
2	2	4	4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	15								
2	2	9/2	9/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	16								
2	2	5	5	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	17								
2	2	11/2	11/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	18								
2	2	6	6	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	19								
2	2	13/2	13/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	20								
2	2	7	7	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	21								
2	2	15/2	15/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	22								
2	2	4	4	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	23								
2	2	9/2	9/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	24								
2	2	5	5	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	25								
2	2	11/2	11/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	26								
2	2	6	6	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	27								
2	2	13/2	13/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	28								
2	2	7	7	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	29								
2	2	15/2	15/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	30								
3	3	8	8	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	31				0				
3	3	19/2	19/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	32				0				
3	3	39/4	39/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	33				0				
3	3	10	10	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	34			articStaccatoAbove					
3	3	8	8	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	35								
3	3	17/2	17/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	36								
3	3	9	9	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	37								
3	3	19/2	19/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	38								
3	3	10	10	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	39								
3	3	21/2	21/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	40								
3	3	11	11	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	41								
3	3	23/2	23/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	42								
4	4	12	12	0.0		0	0	Chord	4/4	1	1	0	grace16	1/16	1	43								
4	4	12	12	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	44				1				
4	4	13	13	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	45				1				
4	4	53/4	53/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	46				1				
4	4	27/2	27/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	47				1				
4	4	55/4	55/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	48				1				
4	4	14	14	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	49			articStaccatoAbove					
4	4	12	12	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	50								
4	4	25/2	25/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	51								
4	4	13	13	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	52								
4	4	27/2	27/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	53								
4	4	14	14	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	54								
4	4	29/2	29/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	55								
4	4	15	15	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	56								
4	4	31/2	31/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	57								
5	5	16	16	0.0		0	0	Dynamic	4/4	1	1	0						pp						
5	5	16	16	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	58								
5	5	33/2	33/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	59								
5	5	17	17	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	60								
5	5	35/2	35/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	61								
5	5	18	18	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	62								
5	5	37/2	37/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	63								
5	5	19	19	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	64								
5	5	39/2	39/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	65								
5	5	16	16	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	66								
5	5	33/2	33/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	67								
5	5	17	17	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	68								
