mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	slur	crescendo_line	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	0						
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1						
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	2						
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	3						
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	4						
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	5						
1	1	0	0	0.25	0	0	Chord	3/4	2	2	1/16		1/16	1	6		articStaccatoBelow				
1	1	1/2	1/2	0.25	1/8	1/8	Chord	3/4	2	2	1/16		1/16	1	7		articStaccatoBelow				
1	1	1	1	0.25	1/4	1/4	Chord	3/4	2	2	1/16		1/16	1	8		articStaccatoBelow				
1	1	3/2	3/2	0.25	3/8	3/8	Chord	3/4	2	2	1/16		1/16	1	9		articStaccatoBelow				
1	1	2	2	0.25	1/2	1/2	Chord	3/4	2	2	1/16		1/16	1	10		articStaccatoBelow				
1	1	5/2	5/2	0.25	5/8	5/8	Chord	3/4	2	2	1/16		1/16	1	11		articStaccatoBelow				
2	2	3	3	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	12						
2	2	4	4	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	13						
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	14						
2	2	4	4	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	15						
2	2	3	3	0.25	0	0	Chord	3/4	2	2	1/16		1/16	1	16		articStaccatoBelow				
2	2	7/2	7/2	0.25	1/8	1/8	Chord	3/4	2	2	1/16		1/16	1	17		articStaccatoBelow				
2	2	4	4	0.25	1/4	1/4	Chord	3/4	2	2	1/16		1/16	1	18		articStaccatoBelow				
2	2	9/2	9/2	0.25	3/8	3/8	Chord	3/4	2	2	1/16		1/16	1	19		articStaccatoBelow				
2	2	5	5	0.25	1/2	1/2	Chord	3/4	2	2	1/16		1/16	1	20		articStaccatoBelow				
2	2	11/2	11/2	0.25	5/8	5/8	Chord	3/4	2	2	1/16		1/16	1	21		articStaccatoBelow				
3	3	6	6	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	22						
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	23						
3	3	6	6	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	24						
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	25		articStaccatoAbove				
3	3	6	6	0.25	0	0	Chord	3/4	2	2	1/16		1/16	1	26		articStaccatoBelow				
3	3	13/2	13/2	0.25	1/8	1/8	Chord	3/4	2	2	1/16		1/16	1	27		articStaccatoBelow				
3	3	7	7	0.25	1/4	1/4	Chord	3/4	2	2	1/16		1/16	1	28		articStaccatoBelow				
3	3	15/2	15/2	0.25	3/8	3/8	Chord	3/4	2	2	1/16		1/16	1	29		articStaccatoBelow				
3	3	8	8	0.25	1/2	1/2	Chord	3/4	2	2	1/16		1/16	1	30		articStaccatoBelow				
3	3	17/2	17/2	0.25	5/8	5/8	Chord	3/4	2	2	1/16		1/16	1	31		articStaccatoBelow				
4	4	9	9	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	32						
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	33			0			
4	4	10	10	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	34			0			
4	4	9	9	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	35						
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	36						
4	4	10	10	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	37						
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	38						
4	4	11	11	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	39						
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	40						
5	5	12	12	0.0	0	0	Dynamic	3/4	1	1	0					other-dynamics					
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	41						
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	42						
5	5	14	14	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	43			1			
5	5	59/4	59/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	44						
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	45						
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	46						
5	5	14	14	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	47			2			
5	5	59/4	59/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	48						
5	5	12	12	0.25	0	0	Chord	3/4	2	2	1/16		1/16	1	49		articStaccatoBelow				
5	5	25/2	25/2	0.25	1/8	1/8	Chord	3/4	2	2	1/16		1/16	1	50		articStaccatoBelow				
5	5	13	13	0.25	1/4	1/4	Chord	3/4	2	2	1/16		1/16	1	51		articStaccatoBelow				
