mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_hairpin	Ottava:8va	Trill:trill	pedal	Pedal_<sym>keyboardPedalPed</sym>
2	2	11/2	11/2	0.25		5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	44										
2	2	23/4	23/4	0.25		11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	45										
3	3	6	6	0.25		0	0	Chord	6/8	1	1	1/16		1/16	1	46										
3	3	25/4	25/4	0.25		1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	47										
3	3	13/2	13/2	0.25		1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	48										
3	3	27/4	27/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	49										
3	3	7	7	0.25		1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	50										
3	3	29/4	29/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	51										
3	3	15/2	15/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	52										
3	3	31/4	31/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	53										
3	3	8	8	0.25		1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	54										
3	3	33/4	33/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	55										
3	3	17/2	17/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	56										
3	3	35/4	35/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	57										
3	3	6	6	0.25		0	0	Chord	6/8	2	1	1/16		1/16	1	58										
3	3	25/4	25/4	0.25		1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	59										
3	3	13/2	13/2	0.25		1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	60										
3	3	27/4	27/4	0.25		3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	61										
3	3	7	7	0.25		1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	62										
3	3	29/4	29/4	0.25		5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	63										
3	3	15/2	15/2	0.25		3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	64										
3	3	31/4	31/4	0.25		7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	65										
3	3	8	8	0.25		1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	66										
3	3	33/4	33/4	0.25		9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	67										
3	3	17/2	17/2	0.25		5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	68										
3	3	35/4	35/4	0.25		11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	69										
4	4	9	9	0.25		0	0	Chord	6/8	1	1	1/16		1/16	1	70										
4	4	37/4	37/4	0.25		1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	71										
4	4	19/2	19/2	0.25		1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	72										
4	4	39/4	39/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	73										
4	4	10	10	0.25		1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	74										
4	4	41/4	41/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	75										
4	4	21/2	21/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	76										
4	4	43/4	43/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	77										
4	4	11	11	0.25		1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	78										
4	4	45/4	45/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	79										
4	4	23/2	23/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	80										
4	4	47/4	47/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	81										
4	4	9	9	0.25		0	0	Chord	6/8	2	1	1/16		1/16	1	82										
4	4	37/4	37/4	0.25		1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	83										
4	4	19/2	19/2	0.25		1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	84										
4	4	39/4	39/4	0.25		3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	85										
4	4	10	10	0.25		1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	86										
4	4	41/4	41/4	0.25		5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	87										
4	4	21/2	21/2	0.25		3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	88										
4	4	43/4	43/4	0.25		7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	89										
4	4	11	11	0.25		1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	90										
4	4	45/4	45/4	0.25		9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	91										
4	4	23/2	23/2	0.25		5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	92										
4	4	47/4	47/4	0.25		11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	93										
5	5	12	12	0.0		0	0	Spanner	6/8	1	1	0									0					
5	5	12	12	0.25		0	0	Chord	6/8	1	1	1/16		1/16	1	94					0					
5	5	49/4	49/4	0.25		1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	95					0					
5	5	25/2	25/2	0.25		1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	96					0					
5	5	51/4	51/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	97					0					
5	5	13	13	0.25		1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	98					0					
5	5	53/4	53/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	99					0					
5	5	27/2	27/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	100					0					
5	5	55/4	55/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	101					0					
5	5	14	14	0.25		1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	102					0					
5	5	57/4	57/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	103					0					
5	5	29/2	29/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	104					0					
5	5	59/4	59/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	105					0					
5	5	13	13	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	106				0						
5	5	27/2	27/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	107										
6	6	15	15	0.0		0	0	Spanner	6/8	1	1	0														
6	6	15	15	0.25		0	0	Chord	6/8	1	1	1/16		1/16	1	108										
6	6	61/4	61/4	0.25		1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	109										
6	6	31/2	31/2	0.25		1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	110										
6	6	63/4	63/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	111										
6	6	16	16	0.25		1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	112										
6	6	65/4	65/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	113										
6	6	33/2	33/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	114										
6	6	67/4	67/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	115										
6	6	17	17	0.25		1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	116										
6	6	69/4	69/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	117										
6	6	35/2	35/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	118										
6	6	71/4	71/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	119										
6	6	16	16	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	120				1						
6	6	33/2	33/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	121										
7	7	18	18	0.25		0	0	Chord	6/8	1	1	1/16		1/16	1	122										
7	7	73/4	73/4	0.25		1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	123										
7	7	37/2	37/2	0.25		1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	124										
7	7	75/4	75/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	125										
7	7	19	19	0.25		1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	126										
7	7	77/4	77/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	127										
7	7	39/2	39/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	128										
7	7	79/4	79/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	129										
7	7	20	20	0.25		1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	130										
7	7	81/4	81/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	131										
7	7	41/2	41/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	132										
7	7	83/4	83/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	133										
7	7	19	19	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	134				2						
7	7	39/2	39/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	135										
8	8	21	21	0.25		0	0	Chord	6/8	1	1	1/16		1/16	1	136										
8	8	85/4	85/4	0.25		1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	137										
8	8	43/2	43/2	0.25		1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	138										
8	8	87/4	87/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	139										
8	8	22	22	0.25		1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	140										
8	8	89/4	89/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	141										
8	8	45/2	45/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	142										
8	8	91/4	91/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	143										
8	8	23	23	0.25		1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	144										
8	8	93/4	93/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	145										
8	8	47/2	47/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	146										
8	8	95/4	95/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	147										
8	8	22	22	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	148				3						
8	8	45/2	45/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	149										
9	9	24	24	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	150	f		articStaccatoAbove							
9	9	49/2	49/2	0.25		1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	151				4						
9	9	99/4	99/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	152										
9	9	25	25	0.25		1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	153				5						
9	9	101/4	101/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	154										
9	9	51/2	51/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	155				6						
9	9	103/4	103/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	156										
9	9	26	26	0.25		1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	157				7						
9	9	105/4	105/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	158										
9	9	53/2	53/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	159				8						
9	9	107/4	107/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	160										
9	9	24	24	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	161			articStaccatoAbove							
9	9	49/2	49/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	162			articStaccatoBelow							
9	9	25	25	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	163			articStaccatoBelow							
9	9	51/2	51/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	164			articStaccatoAbove							
9	9	26	26	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	165			articStaccatoAbove							
9	9	53/2	53/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	166			articStaccatoAbove							
10	10	27	27	0.25		0	0	Chord	6/8	1	1	1/16		1/16	1	167				9						
10	10	109/4	109/4	0.25		1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	168										
10	10	55/2	55/2	0.25		1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	169				10						
10	10	111/4	111/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	170										
10	10	28	28	0.25		1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	171				11						
10	10	113/4	113/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	172										
10	10	57/2	57/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	173				12						
10	10	115/4	115/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	174										
10	10	29	29	0.25		1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	175				13						
10	10	117/4	117/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	176										
10	10	59/2	59/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	177				14						
10	10	119/4	119/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	178										
10	10	27	27	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	179			articStaccatoBelow							
10	10	55/2	55/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	180			articStaccatoBelow							
10	10	28	28	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	181										
10	10	57/2	57/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	182										
10	10	29	29	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	183										
10	10	59/2	59/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	184										
11	11	30	30	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	185				15						
11	11	61/2	61/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	186				15						
11	11	31	31	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	187				15						
11	11	63/2	63/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	188				15						
11	11	32	32	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	189				15						
11	11	65/2	65/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	190										
11	11	30	30	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	191										
11	11	63/2	63/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	192										
12	12	33	33	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	193				16						
12	12	67/2	67/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	194				16						
12	12	34	34	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	195										
12	12	69/2	69/2	0.0		3/8	3/8	Spanner	6/8	1	1	0										0				
12	12	69/2	69/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	196				17		0				
12	12	35	35	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	197				17		0				
12	12	71/2	71/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	198						0				
12	12	33	33	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	199										
12	12	71/2	71/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	200										
13	13	36	36	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	201				18		0				
13	13	73/2	73/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	202				18		0				
13	13	37	37	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	203				18		0				
13	13	75/2	75/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	204				18		0				
13	13	38	38	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	205				18		0				
13	13	77/2	77/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	206						0				
13	13	36	36	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	207										
13	13	75/2	75/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	208										
14	14	39	39	0.0		0	0	Spanner	6/8	1	1	0														
14	14	39	39	0.0		0	0	Spanner	6/8	1	1	0									1					
14	14	39	39	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	209				19	1					
14	14	79/2	79/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	210				19	1					
14	14	40	40	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	211				19	1					
14	14	81/2	81/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	212				19	1					
14	14	41	41	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	213				19	1					
14	14	83/2	83/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	214					1					
14	14	39	39	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	215										
14	14	83/2	83/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	216										
15	15	42	42	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	217				20	1					
15	15	85/2	85/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	218				20	1					
15	15	43	43	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	219				20	1					
15	15	87/2	87/2	0.0		3/8	3/8	Spanner	6/8	1	1	0								20						
15	15	87/2	87/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	220				20						
15	15	44	44	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	221				20						
15	15	89/2	89/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	222										
15	15	42	42	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	223										
15	15	87/2	87/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	224										
16	16	45	45	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	225				21						
16	16	91/2	91/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	226				21						
16	16	46	46	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	227				21						
16	16	93/2	93/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	228				21						
16	16	47	47	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	229				21						
16	16	95/2	95/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	230										
16	16	45	45	1.0		0	0	Chord	6/8	2	1	1/4		1/4	1	231										
16	16	93/2	93/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	232										
16	16	95/2	95/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	233										
17	17	48	48	0.0		0	0	Spanner	6/8	1	1	0										1				
17	17	48	48	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	234						1				
17	17	49	49	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	235						1				
17	17	99/2	99/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	236						1				
17	17	199/4	199/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	237						1				
17	17	50	50	0.25		1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	238						1				
17	17	201/4	201/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	239						1				
17	17	101/2	101/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	240						1				
17	17	203/4	203/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	241						1				
17	17	48	48	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	242				22						
17	17	97/2	97/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	243				22						
17	17	49	49	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	244				22						
17	17	99/2	99/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	245				22						
17	17	50	50	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	246				22						
17	17	101/2	101/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	247										
18	18	51	51	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	248						1				
18	18	103/2	103/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	249						1				
18	18	107/2	107/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	250						1				
18	18	51	51	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	251				23						
18	18	103/2	103/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	252				23						
18	18	52	52	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	253										
18	18	105/2	105/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	254				24						
18	18	53	53	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	255				24						
18	18	107/2	107/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	256										
19	19	55	55	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	257						1				
19	19	111/2	111/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	258						1				
19	19	223/4	223/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	259						1				
19	19	56	56	0.25		1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	260						1				
19	19	225/4	225/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	261						1				
19	19	113/2	113/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	262						1				
19	19	227/4	227/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	263						1				
19	19	54	54	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	264				25						
19	19	109/2	109/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	265				25						
19	19	55	55	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	266				25						
19	19	111/2	111/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	267				25						
19	19	56	56	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	268				25						
19	19	113/2	113/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	269										
20	20	57	57	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	270						1				
20	20	115/2	115/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	271						1				
20	20	119/2	119/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	272						1				
20	20	57	57	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	273				26						
20	20	115/2	115/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	274				26						
20	20	58	58	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	275				26						
20	20	117/2	117/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	276				26						
