mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation
1	0	0	0	0.25	0	1/4	Chord	2/4	1	1	1/16	1/16	1	0	p	
1	0	1/4	1/4	0.25	1/16	5/16	Chord	2/4	1	1	1/16	1/16	1	1		
1	0	1/2	1/2	0.25	1/8	3/8	Chord	2/4	1	1	1/16	1/16	1	2		
1	0	3/4	3/4	0.25	3/16	7/16	Chord	2/4	1	1	1/16	1/16	1	3		
2	1	1	1	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	4		
2	1	5/4	5/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	5		
2	1	3/2	3/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	6		
2	1	7/4	7/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	7		
2	1	2	2	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	8		
2	1	9/4	9/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	9		
2	1	5/2	5/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	10		
2	1	11/4	11/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	11		
3	2	3	3	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	12		
3	2	13/4	13/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	13		
3	2	7/2	7/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	14		
3	2	15/4	15/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	15		
3	2	4	4	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	16		
3	2	17/4	17/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	17		
3	2	9/2	9/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	18		
3	2	19/4	19/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	19		
4	3	5	5	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	20		
4	3	21/4	21/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	21		
4	3	11/2	11/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	22		
4	3	23/4	23/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	23		
4	3	6	6	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	24		
4	3	25/4	25/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	25		
4	3	13/2	13/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	26		
4	3	27/4	27/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	27		
4	3	6	6	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	28		
4	3	13/2	13/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	29		
4	3	5	5	2.0	0	0	Chord	2/4	2	2	1/2	1/2	1	30		
5	4	7	7	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	31		
5	4	29/4	29/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	32		
5	4	15/2	15/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	33		
5	4	31/4	31/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	34		
5	4	8	8	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	35		
5	4	33/4	33/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	36		
5	4	17/2	17/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	37		
5	4	35/4	35/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	38		
5	4	7	7	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	39		
5	4	15/2	15/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	40		
5	4	8	8	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	41		
5	4	17/2	17/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	42		
5	4	7	7	2.0	0	0	Chord	2/4	2	2	1/2	1/2	1	43		
6	5	9	9	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	44		
6	5	37/4	37/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	45		
6	5	19/2	19/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	46		
6	5	39/4	39/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	47		
6	5	10	10	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	48		
6	5	41/4	41/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	49		
6	5	21/2	21/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	50		
6	5	43/4	43/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	51		
6	5	9	9	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	52		
6	5	19/2	19/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	53		
6	5	10	10	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	54		
6	5	21/2	21/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	55		
7	6	11	11	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	56		
7	6	45/4	45/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	57		
7	6	23/2	23/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	58		
7	6	47/4	47/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	59		
7	6	12	12	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	60		
7	6	49/4	49/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	61		
7	6	25/2	25/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	62		
7	6	51/4	51/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	63		
7	6	11	11	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	64		articStaccatoBelow
7	6	23/2	23/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	65		articStaccatoBelow
7	6	12	12	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	66		
7	6	49/4	49/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	67		
7	6	25/2	25/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	68		
7	6	51/4	51/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	69		
8	7	13	13	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	70		
8	7	53/4	53/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	71		
8	7	27/2	27/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	72		
8	7	55/4	55/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	73		
8	7	14	14	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	74		
8	7	57/4	57/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	75		
8	7	29/2	29/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	76		
