mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_hairpin
1	1	1	1	0.0		1/4	1/4	Dynamic	4/4	1	1	0						p				
1	1	1	1	0.16666666666666666		1/4	1/4	Chord	4/4	1	1	1/24		1/16	2/3	0						
1	1	7/6	7/6	0.16666666666666666		7/24	7/24	Chord	4/4	1	1	1/24		1/16	2/3	1						
1	1	4/3	4/3	0.16666666666666666		1/3	1/3	Chord	4/4	1	1	1/24		1/16	2/3	2						
1	1	3/2	3/2	0.125		3/8	3/8	Chord	4/4	1	1	1/32		1/32	1	3						
1	1	13/8	13/8	0.125		13/32	13/32	Chord	4/4	1	1	1/32		1/32	1	4						
1	1	7/4	7/4	0.125		7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	5						
1	1	15/8	15/8	0.125		15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	6						
1	1	2	2	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	7			articStaccatoAbove			
1	1	3	3	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	8			articStaccatoAbove			
1	1	0	0	0.25		0	0	Chord	4/4	2	1	1/16		1/16	1	9						
1	1	1/4	1/4	0.25		1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	10						
1	1	1/2	1/2	0.25		1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	11						
1	1	3/4	3/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	12						
1	1	2	2	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	13						
1	1	5/2	5/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	14						
1	1	3	3	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	15						
1	1	7/2	7/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	16						
2	2	4	4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	17				0		
2	2	9/2	9/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	18						
2	2	5	5	2.0		1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	19						
2	2	7	7	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	20						
2	2	4	4	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	21						
2	2	9/2	9/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	22						
2	2	5	5	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	23						
2	2	11/2	11/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	24						
2	2	6	6	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	25						
2	2	13/2	13/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	26						
2	2	7	7	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	27						
2	2	15/2	15/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	28						
3	3	8	8	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	29				1		
3	3	9	9	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	30				1		
3	3	10	10	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	31				1		
3	3	11	11	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	32						
3	3	8	8	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	33						
3	3	17/2	17/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	34						
3	3	9	9	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	35						
3	3	19/2	19/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	36						
3	3	10	10	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	37						
3	3	21/2	21/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	38						
3	3	11	11	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	39						
3	3	23/2	23/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	40						
4	4	12	12	0.0		0	0	Dynamic	4/4	1	1	0						sf				
4	4	12	12	0.0		0	0	Chord	4/4	1	1	0	acciaccatura	1/8	1	41						
4	4	12	12	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	42				2		
4	4	27/2	27/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	43				2		
4	4	55/4	55/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	44				2		
4	4	14	14	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	45						
4	4	12	12	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	46						
4	4	25/2	25/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	47						
4	4	13	13	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	48						
4	4	27/2	27/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	49						
4	4	14	14	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	50						
4	4	29/2	29/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	51						
4	4	15	15	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	52						
4	4	31/2	31/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	53						
5	5	33/2	33/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	54						
5	5	67/4	67/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	55						
5	5	17	17	0.16666666666666666		1/4	1/4	Chord	4/4	1	1	1/24		1/16	2/3	56						
5	5	103/6	103/6	0.16666666666666666		7/24	7/24	Chord	4/4	1	1	1/24		1/16	2/3	57						
5	5	52/3	52/3	0.16666666666666666		1/3	1/3	Chord	4/4	1	1	1/24		1/16	2/3	58						
5	5	35/2	35/2	0.16666666666666666		3/8	3/8	Chord	4/4	1	1	1/24		1/16	2/3	59						
5	5	53/3	53/3	0.16666666666666666		5/12	5/12	Chord	4/4	1	1	1/24		1/16	2/3	60						
5	5	107/6	107/6	0.16666666666666666		11/24	11/24	Chord	4/4	1	1	1/24		1/16	2/3	61						
5	5	18	18	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	62			articStaccatoAbove			
5	5	19	19	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	63			articStaccatoAbove			
5	5	16	16	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	64						
5	5	33/2	33/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	65						
5	5	17	17	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	66						
5	5	35/2	35/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	67						
5	5	18	18	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	68						
5	5	37/2	37/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	69						
5	5	19	19	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	70						
5	5	39/2	39/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	71						
6	6	20	20	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	72				3		
6	6	41/2	41/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	73						
6	6	21	21	2.0		1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	74						
6	6	23	23	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	75						
6	6	20	20	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	76						
6	6	41/2	41/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	77						
6	6	21	21	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	78						
6	6	43/2	43/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	79						
6	6	22	22	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	80						
6	6	45/2	45/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	81						
6	6	23	23	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	82						
6	6	47/2	47/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	83						
7	7	24	24	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	84				4		
7	7	49/2	49/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	85				4		
7	7	99/4	99/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	86				4		
7	7	25	25	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	87				4		
7	7	51/2	51/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	88				4		
7	7	26	26	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	89				4		
