mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	articulation
1	0	1/4	1/4	0.25	1/16	5/16	Chord	2/4	1	1	1/16		1/16	1	0	p	
1	0	1/2	1/2	0.25	1/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1		
1	0	3/4	3/4	0.25	3/16	7/16	Chord	2/4	1	1	1/16		1/16	1	2		
2	1	1	1	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	3		
2	1	5/4	5/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	4		
2	1	3/2	3/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	5		
2	1	7/4	7/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	6		
2	1	2	2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	7		
2	1	5/2	5/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	8		
2	1	1	1	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	9		
2	1	5/4	5/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	10		
2	1	3/2	3/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	11		
2	1	7/4	7/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	12		
2	1	2	2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	13		
2	1	9/4	9/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	14		
2	1	5/2	5/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	15		
2	1	11/4	11/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	16		
2	1	1	1	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	17		
2	1	3/2	3/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	18		
2	1	2	2	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	19		
2	1	5/2	5/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	20		
3	2	3	3	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	21		
3	2	7/2	7/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	22		
3	2	4	4	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	23		
3	2	17/4	17/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	24		
3	2	9/2	9/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	25		
3	2	19/4	19/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	26		
3	2	3	3	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	27		
3	2	13/4	13/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	28		
3	2	7/2	7/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	29		
3	2	15/4	15/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	30		
3	2	4	4	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	31		
3	2	17/4	17/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	32		
3	2	9/2	9/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	33		
3	2	19/4	19/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	34		
3	2	3	3	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	35		
4	3	5	5	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	36		
4	3	21/4	21/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	37		
4	3	11/2	11/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	38		
4	3	23/4	23/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	39		
4	3	6	6	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	40		
4	3	13/2	13/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	41		
4	3	5	5	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	42		
4	3	21/4	21/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	43		
4	3	11/2	11/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	44		
